City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Kysyl-Syr,RU,63.8986,122.7617,-11.09,95,74,4.36,1616546509
Kamaishi,JP,39.2667,141.8833,44.6,61,40,5.75,1616546509
Saskylakh,RU,71.9167,114.0833,-27.65,97,88,5.97,1616546280
Cape Town,ZA,-33.9258,18.4232,72.0,68,0,8.05,1616546226
Barrow,US,71.2906,-156.7887,-7.6,71,1,11.5,1616546395
Río Gallegos,AR,-51.6226,-69.2181,48.2,57,40,23.02,1616546510
Rikitea,PF,-23.1203,-134.9692,79.86,74,14,11.07,1616546229
Vila Franca do Campo,PT,37.7167,-25.4333,55.4,76,20,16.11,1616546510
Cidreira,BR,-30.1811,-50.2056,71.8,91,100,8.93,1616546511
Mogadishu,SO,2.0371,45.3438,78.58,77,44,12.88,1616546511
Albany,US,42.6001,-73.9662,59.0,26,75,5.75,1616546222
Yulara,AU,-25.2406,130.9889,75.2,69,0,6.91,1616546511
Tessalit,ML,20.1986,1.0114,68.9,10,14,8.77,1616546512
Yellowknife,CA,62.456,-114.3525,1.99,60,75,11.5,1616546265
Lavrentiya,RU,65.5833,-171.0,15.06,94,100,12.64,1616546512
Ponta do Sol,PT,32.6667,-17.1,55.99,59,40,3.0,1616546513
Hithadhoo,MV,-0.6,73.0833,82.89,72,69,8.88,1616546513
Vaini,TO,-21.2,-175.2,80.6,78,75,16.11,1616546513
Bawku,GH,11.0616,-0.2417,87.35,40,3,5.55,1616546513
Boguchany,RU,58.3814,97.4531,18.03,93,96,2.04,1616546514
Yeppoon,AU,-23.1333,150.7333,84.2,79,90,12.66,1616546514
Bilibino,RU,68.0546,166.4372,7.48,86,100,3.74,1616546514
City of San Pedro,PH,14.35,121.0167,82.4,65,75,4.61,1616546515
Severo-Kuril'sk,RU,50.6789,156.125,34.03,84,89,13.89,1616546515
Bredasdorp,ZA,-34.5322,20.0403,64.4,88,39,9.22,1616546225
Dunedin,NZ,-45.8742,170.5036,55.0,83,100,4.0,1616546274
Ponta Delgada,PT,37.7333,-25.6667,55.4,76,20,16.11,1616546515
Punta Arenas,CL,-53.15,-70.9167,44.6,76,40,29.93,1616546516
Avarua,CK,-21.2078,-159.775,86.0,79,20,10.36,1616546516
Busselton,AU,-33.65,115.3333,55.99,86,59,1.01,1616546516
Albox,ES,37.3886,-2.1495,55.0,48,5,5.99,1616546517
Atuona,PF,-9.8,-139.0333,80.67,72,100,18.57,1616546517
Champerico,GT,14.3,-91.9167,84.2,70,75,4.61,1616546517
Sinnamary,GF,5.3833,-52.95,76.78,88,91,11.56,1616546518
Krasne,UA,49.9145,24.6134,24.8,93,0,4.47,1616546518
Hobyo,SO,5.3505,48.5268,77.14,62,5,11.14,1616546518
New Norfolk,AU,-42.7826,147.0587,62.01,83,100,6.35,1616546519
Thompson,CA,55.7435,-97.8558,10.4,44,20,5.75,1616546519
Faanui,PF,-16.4833,-151.75,83.8,73,22,19.64,1616546223
Qaanaaq,GL,77.484,-69.3632,-21.62,61,94,4.88,1616546520
Sobolevo,RU,54.4299,31.8996,13.46,94,15,4.68,1616546520
Kumul,CN,42.8,93.45,47.44,29,100,2.91,1616546520
Kapaa,US,22.0752,-159.319,80.01,53,20,16.11,1616546520
Plettenberg Bay,ZA,-34.0527,23.3716,64.35,88,100,6.62,1616546521
Weatherford,US,32.7593,-97.7972,73.4,30,1,3.44,1616546521
Mahonda,TZ,-6.45,39.4667,82.85,71,13,3.98,1616546521
La Rioja,ES,42.25,-2.5,44.01,81,0,1.14,1616546522
Ushuaia,AR,-54.8,-68.3,44.6,76,90,21.85,1616546522
Nikolskoye,RU,59.7035,30.7861,35.6,75,0,6.71,1616546522
Jamestown,US,42.097,-79.2353,57.2,41,1,13.13,1616546424
Cockburn Town,TC,21.4612,-71.1419,77.77,77,0,13.91,1616546523
Laguna,US,38.421,-121.4238,68.0,15,1,20.71,1616546523
San Cristobal,VE,7.7669,-72.225,80.6,74,40,2.3,1616546324
Las Palmas,ES,28.4204,-14.0131,66.2,59,0,9.22,1616546524
Lukovetskiy,RU,64.2956,41.9211,33.8,80,40,8.95,1616546524
Mataura,NZ,-46.1927,168.8643,62.01,74,100,1.7,1616546524
Pochutla,MX,15.7432,-96.4661,84.2,54,1,11.5,1616546525
East London,ZA,-33.0153,27.9116,66.43,76,25,10.71,1616546525
Pisco,PE,-13.7,-76.2167,71.6,78,0,16.11,1616546343
Mokrous,RU,51.2333,47.5167,31.73,98,100,10.0,1616546525
Smithers,CA,54.7804,-127.1743,44.6,57,90,2.3,1616546526
Kaeo,NZ,-35.1,173.7833,71.76,53,39,7.27,1616546526
Altamont,US,42.2068,-121.7372,51.8,17,1,14.97,1616546526
Florø,NO,61.5996,5.0328,42.8,81,90,35.68,1616546527
Hilo,US,19.7297,-155.09,77.0,69,75,13.8,1616546505
Gaoua,BF,10.2992,-3.2508,82.15,59,93,5.7,1616546527
Road Town,VG,18.4167,-64.6167,78.01,78,20,3.44,1616546527
Arrifes,PT,37.7667,-25.7,55.4,82,20,13.8,1616546528
Charters Towers,AU,-20.1,146.2667,87.73,52,85,3.0,1616546528
Portland,US,45.5234,-122.6762,57.2,41,20,4.61,1616545911
Okha,RU,53.5739,142.9478,10.42,67,15,23.82,1616546528
Bela,IN,25.9333,81.9833,73.45,34,99,6.55,1616546529
Hobart,AU,-42.8794,147.3294,62.01,94,75,10.36,1616546529
Denpasar,ID,-8.65,115.2167,80.6,89,40,1.14,1616546529
Arraial do Cabo,BR,-22.9661,-42.0278,77.0,88,20,1.21,1616546530
Dikson,RU,73.5069,80.5464,-7.71,91,100,4.38,1616546530
Kostanay,KZ,53.1667,63.5833,19.4,86,0,11.18,1616546530
Nanortalik,GL,60.1432,-45.2371,22.87,69,49,9.01,1616546531
Aripuanã,BR,-9.1667,-60.6333,70.48,98,78,0.18,1616546531
Margate,GB,51.3813,1.3862,42.01,83,15,1.01,1616546531
Khatanga,RU,71.9667,102.5,-6.36,95,100,4.0,1616546532
Ribeira Grande,PT,38.5167,-28.7,55.89,56,60,10.2,1616546253
Laas,IT,46.6166,10.7002,37.99,74,0,6.91,1616546420
Bilgrām,IN,27.1833,80.0333,75.0,32,26,5.79,1616546532
Jiangyou,CN,31.7667,104.7167,54.57,68,19,2.98,1616546532
Kaitangata,NZ,-46.2817,169.8464,59.0,73,96,4.0,1616546533
Yerofey Pavlovich,RU,53.9667,121.9667,20.75,82,100,1.52,1616546533
Paraná,AR,-31.732,-60.5238,75.0,73,0,1.99,1616546533
Beberibe,BR,-4.1797,-38.1306,78.01,94,0,1.14,1616546534
Aquiraz,BR,-3.9014,-38.3911,78.01,94,0,1.14,1616546534
Castro,BR,-24.7911,-50.0119,65.35,88,100,1.1,1616546534
Kilindoni,TZ,-7.9139,39.6668,82.44,75,26,5.1,1616546535
Hastings,GB,50.8552,0.5729,41.0,93,34,5.75,1616546535
Paramonga,PE,-10.6667,-77.8333,71.6,81,100,8.75,1616546535
Pevek,RU,69.7008,170.3133,5.61,79,100,3.47,1616546535
Nemuro,JP,43.3236,145.575,42.8,65,20,19.57,1616546536
Santa Cruz de la Sierra,BO,-17.8,-63.1667,78.8,69,40,4.61,1616546400
Manado,ID,1.487,124.8455,78.8,94,40,2.3,1616546536
Ufa,RU,54.775,56.0375,28.4,93,90,11.18,1616546460
Upernavik,GL,72.7868,-56.1549,-14.82,95,100,2.55,1616546537
Alofi,NU,-19.0595,-169.9187,84.2,84,40,8.05,1616546537
Cayenne,GF,4.9333,-52.3333,80.01,89,90,3.44,1616546537
Matara,LK,5.9485,80.5353,76.41,85,100,8.21,1616546537
Saldanha,ZA,-33.0117,17.9442,68.0,60,86,4.61,1616546538
Berezovyy,RU,51.6667,135.7,22.24,42,17,12.46,1616546538
Narasannapeta,IN,18.4167,84.05,77.49,48,53,3.69,1616546538
Itarema,BR,-2.9248,-39.9167,77.09,85,52,8.66,1616546344
Coyhaique,CL,-45.5752,-72.0662,50.0,53,75,7.9,1616546539
Mar del Plata,AR,-38.0023,-57.5575,68.0,88,0,9.22,1616546539
Kipushi,CD,-11.7667,27.2333,59.59,98,76,4.63,1616546539
Baturaja,ID,-4.1333,104.1667,74.68,94,100,1.59,1616546540
Flin Flon,CA,54.7682,-101.865,10.31,86,98,2.89,1616546540
Ürümqi,CN,43.801,87.6005,41.0,70,0,2.24,1616546540
Mahébourg,MU,-20.4081,57.7,78.8,83,40,6.24,1616546541
Umred,IN,20.85,79.3333,69.8,68,75,2.3,1616546541
Saint-Augustin,CA,51.226,-58.6502,27.23,94,55,6.06,1616546541
Cabo San Lucas,MX,22.8909,-109.9124,78.01,40,40,18.41,1616546262
Saint Anthony,US,45.0205,-93.218,46.99,87,90,13.8,1616546542
Pacocha,PE,-17.5833,-71.3333,69.78,81,35,3.4,1616546542
Irbit,RU,57.6705,63.071,24.06,94,100,7.61,1616546542
Provideniya,RU,64.3833,-173.3,30.54,93,100,12.39,1616546543
Chui,UY,-33.6971,-53.4616,66.18,77,37,6.24,1616546543
Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,71,75,9.22,1616546543
Savannah Bight,HN,16.45,-85.85,80.01,89,0,1.01,1616546544
George Town,MY,5.4112,100.3354,80.01,89,40,6.62,1616546394
Salalah,OM,17.0151,54.0924,75.2,50,0,3.44,1616546368
Sol'-Iletsk,RU,51.1631,54.9918,24.39,93,100,7.43,1616546544
Japura,ID,-0.3167,102.35,74.68,94,100,3.18,1616546545
Etchoropo,MX,26.7667,-109.6667,71.01,43,79,5.01,1616546545
Pangnirtung,CA,66.1451,-65.7125,-30.64,98,94,4.88,1616546545
Mityana,UG,0.4175,32.0228,69.8,94,20,3.44,1616546546
Aksarka,RU,66.5606,67.7975,3.02,99,99,5.7,1616546546
Harbour Breton,CA,47.4833,-55.7983,34.81,87,100,8.37,1616546546
Bathsheba,BB,13.2167,-59.5167,78.8,57,40,16.11,1616546546
São Filipe,CV,14.8961,-24.4956,71.01,74,4,8.68,1616546547
Lompoc,US,34.6391,-120.4579,59.0,55,20,19.57,1616546547
Bohdan,UA,48.0412,24.3522,21.52,94,71,4.41,1616546547
Miranda,CO,3.2499,-76.2281,77.0,69,75,6.91,1616546548
Lüderitz,NA,-26.6481,15.1594,65.34,79,0,6.38,1616546548
Bethel,US,41.3712,-73.414,57.2,54,1,3.44,1616546548
Pingliang,CN,35.5392,106.6861,46.99,39,100,5.99,1616546549
Abay,KZ,49.6311,72.8539,15.8,86,90,22.37,1616546549
Leer,SS,8.3018,30.1418,82.08,52,50,3.83,1616546549
Norman Wells,CA,65.282,-126.8329,12.2,48,20,16.11,1616546537
Raja,SS,8.4596,25.678,75.69,74,100,4.03,1616546550
Longyan,CN,25.1072,117.0225,63.0,67,71,3.22,1616546550
Sabang,ID,5.8933,95.3214,80.24,79,100,17.67,1616546550
Udarnyy,RU,54.3409,42.8611,17.28,95,25,5.26,1616546551
Rāwah,IQ,34.4816,41.9093,65.08,66,91,4.76,1616546551
Burnie,AU,-41.0667,145.9167,60.01,90,100,14.0,1616546551
Aksaray,TR,38.3726,34.0254,39.2,93,75,9.22,1616546381
Santiago del Estero,AR,-27.7951,-64.2615,71.64,66,36,6.51,1616546416
Yaguajay,CU,22.3272,-79.2378,72.61,75,0,8.57,1616546552
Geraldton,AU,-28.7667,114.6,68.0,45,0,18.41,1616546407
Nouadhibou,MR,20.931,-17.0347,62.6,88,0,17.27,1616546552
Port Lincoln,AU,-34.7333,135.8667,69.98,66,32,10.8,1616546553
Maragogi,BR,-9.0122,-35.2225,78.39,80,23,7.4,1616546295
Skjervøy,NO,70.0311,20.9714,35.64,81,100,18.84,1616546553
Waverly,US,42.7392,-84.6208,64.4,36,90,13.8,1616546554
Mweka,CD,-4.85,21.5667,68.31,95,94,1.81,1616546554
Russell,US,32.3502,-85.1999,69.8,68,90,11.5,1616546554
Yangjiang,CN,21.85,111.9667,67.91,55,100,6.96,1616546302
Mandiana,GN,10.6333,-8.6833,79.99,61,99,3.74,1616546555
Westport,US,41.1415,-73.3579,51.01,87,1,4.61,1616546442
Port Alfred,ZA,-33.5906,26.891,66.85,78,93,14.25,1616546555
Kropotkin,RU,45.4375,40.5756,35.01,88,100,6.71,1616546555
Kayerkan,RU,69.3497,87.7602,5.05,94,100,12.19,1616546556
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,43,87,4.47,1616546556
Port Augusta,AU,-32.5,137.7667,68.0,60,40,16.11,1616546556
Kāzerūn,IR,29.6195,51.6541,66.24,38,0,3.2,1616546557
Saint-Philippe,RE,-21.3585,55.7679,77.0,83,0,4.61,1616546557
Níjar,ES,36.9665,-2.206,55.0,94,0,5.75,1616546557
Conceição do Araguaia,BR,-8.2578,-49.2647,73.96,91,100,2.3,1616546558
Barrhead,GB,55.7992,-4.3929,41.0,87,100,9.22,1616546545
Vallenar,CL,-28.5708,-70.7581,69.22,55,0,1.41,1616546558
Havre-St-Pierre,CA,50.2334,-63.5986,35.6,80,1,6.91,1616546558
Samarai,PG,-10.6167,150.6667,85.6,69,99,10.69,1616546388
Kamenka,RU,51.3223,42.7678,30.99,94,100,15.12,1616546559
Fairbanks,US,64.8378,-147.7164,19.99,49,75,5.75,1616546441
Souillac,MU,-20.5167,57.5167,78.8,83,40,5.68,1616546559
Havøysund,NO,70.9963,24.6622,35.6,64,75,18.41,1616546559
Igrim,RU,63.1906,64.4162,15.58,94,100,6.76,1616546560
Verāval,IN,20.9,70.3667,76.77,55,0,10.02,1616546560
Hambantota,LK,6.1241,81.1185,75.2,100,75,3.44,1616546560
Tuatapere,NZ,-46.1333,167.6833,62.01,74,77,1.21,1616546561
Nome,US,64.5011,-165.4064,6.8,78,90,25.32,1616546561
Guerrero Negro,MX,27.9769,-114.0611,59.68,67,21,22.24,1616546561
Saint Paul Harbor,US,57.79,-152.4072,37.4,60,1,9.22,1616546562
Ossora,RU,59.2353,163.0719,23.59,63,4,12.62,1616546562
Meulaboh,ID,4.1363,96.1285,77.58,88,100,7.92,1616546562
Lorengau,PG,-2.0226,147.2712,83.8,72,100,8.19,1616546563
Bengkulu,ID,-3.8004,102.2655,76.62,87,100,2.89,1616546322
Egvekinot,RU,66.3167,-179.1667,13.95,87,100,9.53,1616546290
San Patricio,US,28.017,-97.5169,75.2,69,75,14.97,1616546563
Lebu,CL,-37.6167,-73.65,56.79,88,8,13.53,1616546563
Acajutla,SV,13.5928,-89.8275,72.0,94,0,5.01,1616546489
Beloha,MG,-25.1667,45.05,68.52,86,58,3.04,1616546564
Vostok,RU,46.4856,135.8833,28.54,58,0,1.99,1616546564
Campeche,MX,19.0,-90.5,87.69,43,37,8.66,1616546564
Tomatlán,MX,19.9333,-105.25,74.66,45,100,5.57,1616546565
Mossamedes,AO,-15.1961,12.1522,73.24,81,100,7.49,1616546299
Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,41,1.86,1616546565
Fjerritslev,DK,57.0813,9.2664,43.0,75,90,18.41,1616546566
Hermanus,ZA,-34.4187,19.2345,68.0,81,18,7.0,1616546566
Butaritari,KI,3.0707,172.7902,81.88,78,12,20.07,1616546566
Catalão,BR,-18.1658,-47.9464,68.54,63,100,2.33,1616546566
Mayo,US,38.8876,-76.5119,57.2,62,1,8.05,1616546567
Cherskiy,RU,68.75,161.3,9.28,88,100,1.12,1616546567
Bluff,NZ,-46.6,168.3333,62.01,74,100,1.03,1616546567
Verkhnyaya Inta,RU,65.9811,60.3094,18.19,86,100,12.68,1616546568
Sola,VU,-13.8833,167.55,87.8,79,7,3.44,1616546568
Honningsvåg,NO,70.9821,25.9704,34.61,68,23,37.47,1616546568
Grande Prairie,CA,55.1667,-118.8027,33.8,93,90,3.44,1616546460
Prince Albert,CA,53.2001,-105.7677,19.4,58,75,6.91,1616546569
Zhicheng,CN,30.2956,111.5047,61.0,72,0,1.25,1616546569
Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,5.95,1616546570
Port Macquarie,AU,-31.4333,152.9167,84.99,56,1,4.0,1616546570
Alta Floresta,BR,-9.8756,-56.0861,70.81,86,77,3.11,1616546570
Hadano,JP,35.3711,139.2236,63.0,38,0,3.0,1616546570
Kichera,RU,55.9375,110.0997,27.07,95,100,3.0,1616546571
Rockford,US,42.2711,-89.094,55.4,88,90,13.8,1616546364
Fortuna,US,40.5982,-124.1573,55.99,62,1,13.8,1616546571
Constitución,CL,-35.3333,-72.4167,56.8,88,3,11.88,1616546276
Sioux Lookout,CA,50.1001,-91.917,46.4,31,75,3.44,1616546556
Oparino,RU,59.8518,48.2783,17.37,92,100,9.64,1616546572
Caravelas,BR,-17.7125,-39.2481,75.42,84,0,5.39,1616546572
Masterton,NZ,-40.9597,175.6575,69.01,76,3,5.01,1616546572
Kirakira,SB,-10.4544,161.9205,85.69,68,42,5.88,1616546573
Castelo do Piauí,BR,-5.3222,-41.5525,72.3,90,99,3.98,1616546573
Los Llanos de Aridane,ES,28.6585,-17.9182,62.6,55,0,8.05,1616546573
Praia,CV,14.9215,-23.5087,68.0,77,20,19.57,1616546573
Shwebo,MM,22.5667,95.7,82.89,33,5,3.83,1616546574
Rantepao,ID,-2.9701,119.8978,75.43,82,100,1.5,1616546574
Carutapera,BR,-1.195,-46.02,75.63,93,100,5.93,1616546574
Elizabeth City,US,36.2946,-76.2511,55.99,94,90,11.5,1616546575
Iqaluit,CA,63.7506,-68.5145,-22.0,69,20,23.02,1616546404
Kologriv,RU,58.8275,44.3178,17.76,93,68,6.98,1616546575
Seddon,AU,-37.8068,144.8916,66.99,94,90,9.22,1616546575
Torbay,CA,47.6666,-52.7314,42.8,42,75,24.16,1616546576
Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,6.06,1616546576
Tangwani,PK,28.2787,68.9972,66.2,82,0,17.58,1616546576
Olinda,BR,-8.0089,-34.8553,77.0,78,20,11.5,1616546577
Wānkāner,IN,22.6167,70.9333,82.0,73,0,4.61,1616546577
Ostrovnoy,RU,68.0531,39.5131,29.01,77,9,25.03,1616546577
Flinders,AU,-34.5833,150.8552,80.01,62,0,5.99,1616546578
Leningradskiy,RU,69.3833,178.4167,3.42,88,100,4.12,1616546578
Dunmanway,IE,51.7167,-9.1167,39.99,93,0,6.91,1616546578
Calama,CL,-22.4667,-68.9333,62.6,23,0,17.27,1616546579
Camacha,PT,33.0833,-16.3333,59.0,72,20,9.22,1616546579
Acaraú,BR,-2.8856,-40.12,77.09,86,67,9.19,1616546366
Satipo,PE,-11.2522,-74.6386,67.1,98,82,1.72,1616546579
Blenheim,NZ,-41.516,173.9528,66.99,62,38,1.99,1616546580
Sweetwater,US,25.7634,-80.3731,71.6,60,20,6.91,1616546580
Djebeniana,TN,35.035,10.9081,46.4,61,20,4.61,1616546580
Zhoucheng,CN,35.9122,116.3117,54.0,1,98,8.39,1616546581
Manzanares,ES,38.9991,-3.3699,44.01,66,5,5.41,1616546581
Kawalu,ID,-7.3817,108.2082,77.07,86,100,0.89,1616546581
Eydhafushi,MV,5.1033,73.0708,83.07,66,99,3.33,1616546582
Marabu,MY,4.4148,114.0089,78.8,100,20,4.27,1616546582
Río Cuarto,AR,-33.1307,-64.3499,68.0,64,0,14.97,1616546582
Tynda,RU,55.1667,124.7167,5.7,86,100,0.69,1616546583
Coruripe,BR,-10.1256,-36.1756,77.52,82,12,8.86,1616546583
Fare,PF,-16.7,-151.0167,83.66,73,5,20.47,1616546583
Pecos,US,31.4229,-103.4932,75.2,6,1,5.75,1616546343
Vanimo,PG,-2.6741,141.3028,86.14,65,96,1.34,1616546584
Chokurdakh,RU,70.6333,147.9167,-8.05,94,100,12.12,1616546584
Hong Kong,HK,22.2855,114.1577,66.99,70,96,1.01,1616546365
Sept-Îles,CA,50.2001,-66.3821,44.6,49,40,3.44,1616546402
Kruisfontein,ZA,-34.0033,24.7314,64.99,84,100,1.99,1616546585
College,US,64.8569,-147.8028,19.4,49,75,5.75,1616546585
Paita,PE,-5.0892,-81.1144,74.23,79,100,13.4,1616546585
Provincie Utrecht,NL,52.0,5.25,39.0,91,17,6.53,1616546481
Anaco,VE,9.4389,-64.4728,81.05,60,93,7.94,1616546586
Puttūr,IN,12.7667,75.2167,80.6,89,20,0.78,1616546586
Houma,US,29.5958,-90.7195,62.6,94,90,17.27,1616546586
Farmington,US,36.7281,-108.2187,37.99,87,90,3.44,1616546586
Chumphon,TH,10.3333,98.8333,82.99,89,20,2.3,1616546587
Chanute,US,37.6792,-95.4572,53.6,82,90,14.97,1616546405
Martapura,ID,-3.4167,114.85,77.0,94,40,5.75,1616546587
Lago da Pedra,BR,-4.3333,-45.1667,73.38,96,100,2.84,1616546587
Byron Bay,AU,-28.65,153.6167,82.4,65,0,10.36,1616546488
Seoul,KR,37.5683,126.9778,50.0,53,100,8.05,1616546532
Gizo Government Station,SB,-8.103,156.8419,85.55,67,71,5.19,1616546588
